Date,Team,Opponent,Location,Neutral Site Location
10/27/2018,TCU,Kansas,A,
10/27/2018,Louisville,Wake Forest,H,
10/27/2018,Wake Forest,Louisville,A,
10/27/2018,Michigan St.,Purdue,H,
10/27/2018,Purdue,Michigan St.,A,
10/27/2018,Colorado,Oregon St.,H,
10/27/2018,Oregon St.,Colorado,A,
10/27/2018,Kansas St.,Oklahoma,A,
10/27/2018,Oklahoma,Kansas St.,H,
10/27/2018,FIU,Western Ky.,A,
10/27/2018,Western Ky.,FIU,H,
10/27/2018,Florida,Georgia,N,"Jacksonville, FL"
10/27/2018,Georgia,Florida,N,"Jacksonville, FL"
10/27/2018,Notre Dame,Navy,N,"San Diego, CA"
10/27/2018,Navy,Notre Dame,N,"San Diego, CA"
10/27/2018,New Mexico St.,Texas St.,A,
10/27/2018,Texas St.,New Mexico St.,H,
10/30/2018,Bowling Green,Kent St.,H,
10/30/2018,Kent St.,Bowling Green,A,
10/30/2018,Buffalo,Miami (OH),H,
10/30/2018,Miami (OH),Buffalo,A,
10/31/2018,Ball St.,Toledo,A,
10/31/2018,Toledo,Ball St.,H,
11/1/2018,Akron,Northern Ill.,H,
11/1/2018,Northern Ill.,Akron,A,
11/1/2018,Ohio,Western Mich.,A,
11/1/2018,Western Mich.,Ohio,H,
11/1/2018,UCF,Temple,H,
11/1/2018,Temple,UCF,A,
11/2/2018,Arizona,Colorado,H,
11/2/2018,Colorado,Arizona,A,
11/2/2018,Middle Tenn.,Western Ky.,H,
11/2/2018,Western Ky.,Middle Tenn.,A,
11/2/2018,Pittsburgh,Virginia,A,
11/2/2018,Virginia,Pittsburgh,H,
11/3/2018,Central Mich.,Eastern Mich.,A,
11/3/2018,Eastern Mich.,Central Mich.,H,
11/3/2018,Boston College,Virginia Tech,A,
11/3/2018,Virginia Tech,Boston College,H,
11/3/2018,Oklahoma,Texas Tech,A,
11/3/2018,Texas Tech,Oklahoma,H,
11/3/2018,Rutgers,Wisconsin,A,
11/3/2018,Wisconsin,Rutgers,H,
11/3/2018,Appalachian St.,Coastal Caro.,A,
11/3/2018,UConn,Tulsa,A,
11/3/2018,Tulsa,UConn,H,
11/3/2018,UAB,UTSA,H,
11/3/2018,UTSA,UAB,A,
11/3/2018,Louisiana Tech,Mississippi St.,A,
11/3/2018,Mississippi St.,Louisiana Tech,H,
11/3/2018,Illinois,Minnesota,H,
11/3/2018,Minnesota,Illinois,A,
11/3/2018,Syracuse,Wake Forest,A,
11/3/2018,Wake Forest,Syracuse,H,
11/3/2018,Baylor,Oklahoma St.,H,
11/3/2018,Oklahoma St.,Baylor,A,
11/3/2018,Air Force,Army West Point,A,
11/3/2018,Army West Point,Air Force,H,
11/3/2018,Kansas St.,TCU,A,
11/3/2018,TCU,Kansas St.,H,
11/3/2018,Houston,SMU,A,
11/3/2018,SMU,Houston,H,
11/3/2018,Northwestern,Notre Dame,H,
11/3/2018,Notre Dame,Northwestern,A,
11/3/2018,Georgia St.,Texas St.,H,
11/3/2018,Texas St.,Georgia St.,A,
11/3/2018,Rice,UTEP,H,
11/3/2018,UTEP,Rice,A,
11/3/2018,Auburn,Texas A&M,H,
11/3/2018,Texas A&M,Auburn,A,
11/3/2018,Fresno St.,UNLV,A,
11/3/2018,UNLV,Fresno St.,H,
11/3/2018,Charlotte,Tennessee,A,
11/3/2018,Tennessee,Charlotte,H,
11/3/2018,Texas,West Virginia,H,
11/3/2018,West Virginia,Texas,A,
11/3/2018,Florida St.,NC State,A,
11/3/2018,NC State,Florida St.,H,
11/3/2018,Marshall,Southern Miss.,A,
11/3/2018,Southern Miss.,Marshall,H,
11/3/2018,East Carolina,Memphis,H,
11/3/2018,Memphis,East Carolina,A,
11/3/2018,New Mexico,San Diego St.,H,
11/3/2018,San Diego St.,New Mexico,A,
11/3/2018,San Jose St.,Wyoming,A,
11/3/2018,Wyoming,San Jose St.,H,
11/3/2018,Florida,Missouri,H,
11/3/2018,Missouri,Florida,A,
11/3/2018,Idaho,North Dakota,H,
11/3/2018,Arkansas St.,South Alabama,H,
11/3/2018,South Alabama,Arkansas St.,A,
11/3/2018,Ole Miss,South Carolina,H,
11/3/2018,South Carolina,Ole Miss,A,
11/3/2018,Boise St.,BYU,H,
11/3/2018,BYU,Boise St.,A,
11/3/2018,California,Washington St.,A,
11/3/2018,Washington St.,California,H,
11/3/2018,Ga. Southern,La.-Monroe,A,
11/3/2018,La.-Monroe,Ga. Southern,H,
11/3/2018,Iowa St.,Kansas,A,
11/3/2018,Kansas,Iowa St.,H,
11/3/2018,Alabama,LSU,A,
11/3/2018,LSU,Alabama,H,
11/3/2018,Fla. Atlantic,FIU,A,
11/3/2018,FIU,Fla. Atlantic,H,
11/3/2018,Louisiana,Troy,A,
11/3/2018,Troy,Louisiana,H,
11/3/2018,Michigan,Penn St.,H,
11/3/2018,Penn St.,Michigan,A,
11/3/2018,Nebraska,Ohio St.,A,
11/3/2018,Ohio St.,Nebraska,H,
11/3/2018,Maryland,Michigan St.,H,
11/3/2018,Michigan St.,Maryland,A,
11/3/2018,Iowa,Purdue,A,
11/3/2018,Purdue,Iowa,H,
11/3/2018,Cincinnati,Navy,H,
11/3/2018,Navy,Cincinnati,A,
11/3/2018,South Fla.,Tulane,H,
11/3/2018,Tulane,South Fla.,A,
11/3/2018,Oregon St.,Southern California,H,
11/3/2018,Southern California,Oregon St.,A,
11/3/2018,Stanford,Washington,A,
11/3/2018,Washington,Stanford,H,
11/3/2018,Georgia,Kentucky,A,
11/3/2018,Kentucky,Georgia,H,
11/3/2018,Duke,Miami (FL),A,
11/3/2018,Miami (FL),Duke,H,
11/3/2018,Georgia Tech,North Carolina,A,
11/3/2018,North Carolina,Georgia Tech,H,
11/3/2018,Clemson,Louisville,H,
11/3/2018,Louisville,Clemson,A,
11/3/2018,Arizona St.,Utah,H,
11/3/2018,Utah,Arizona St.,A,
11/3/2018,New Mexico St.,Alcorn,H,
11/3/2018,UCLA,Oregon,A,
11/3/2018,Oregon,UCLA,H,
11/3/2018,Massachusetts,Liberty,H,
11/3/2018,Hawaii,Utah St.,H,
11/3/2018,Utah St.,Hawaii,A,
11/6/2018,Buffalo,Kent St.,H,
11/6/2018,Kent St.,Buffalo,A,
11/7/2018,Miami (OH),Ohio,H,
11/7/2018,Ohio,Miami (OH),A,
11/7/2018,Northern Ill.,Toledo,H,
11/7/2018,Toledo,Northern Ill.,A,
11/8/2018,NC State,Wake Forest,H,
11/8/2018,Wake Forest,NC State,A,
11/9/2018,Louisville,Syracuse,A,
11/9/2018,Syracuse,Louisville,H,
11/9/2018,Boise St.,Fresno St.,H,
11/9/2018,Fresno St.,Boise St.,A,
11/10/2018,New Mexico,Air Force,A,
11/10/2018,Air Force,New Mexico,H,
11/10/2018,Ga. Southern,Troy,H,
11/10/2018,Troy,Ga. Southern,A,
11/10/2018,Akron,Eastern Mich.,A,
11/10/2018,Eastern Mich.,Akron,H,
11/10/2018,Indiana,Maryland,H,
11/10/2018,Maryland,Indiana,A,
11/10/2018,Missouri,Vanderbilt,H,
11/10/2018,Vanderbilt,Missouri,A,
11/10/2018,North Texas,Old Dominion,A,
11/10/2018,Old Dominion,North Texas,H,
11/10/2018,Texas Tech,Texas,H,
11/10/2018,Texas,Texas Tech,A,
11/10/2018,Georgia St.,Louisiana,A,
11/10/2018,Louisiana,Georgia St.,H,
11/10/2018,Arkansas St.,Coastal Caro.,A,
11/10/2018,FIU,UTSA,A,
11/10/2018,UTSA,FIU,H,
11/10/2018,Duke,North Carolina,H,
11/10/2018,North Carolina,Duke,A,
11/10/2018,UAB,Southern Miss.,H,
11/10/2018,Southern Miss.,UAB,A,
11/10/2018,BYU,Massachusetts,A,
11/10/2018,Massachusetts,BYU,H,
11/10/2018,UConn,SMU,H,
11/10/2018,SMU,UConn,A,
11/10/2018,San Jose St.,Utah St.,A,
11/10/2018,Utah St.,San Jose St.,H,
11/10/2018,Army West Point,Lafayette,H,
11/10/2018,Marshall,Charlotte,H,
11/10/2018,Charlotte,Marshall,A,
11/10/2018,Oregon St.,Stanford,A,
11/10/2018,Stanford,Oregon St.,H,
11/10/2018,California,Southern California,A,
11/10/2018,Southern California,California,H,
11/10/2018,Louisiana Tech,Rice,H,
11/10/2018,Rice,Louisiana Tech,A,
11/10/2018,Memphis,Tulsa,H,
11/10/2018,Tulsa,Memphis,A,
11/10/2018,Kansas St.,Kansas,H,
11/10/2018,Kansas,Kansas St.,A,
11/10/2018,Kentucky,Tennessee,A,
11/10/2018,Tennessee,Kentucky,H,
11/10/2018,Pittsburgh,Virginia Tech,H,
11/10/2018,Virginia Tech,Pittsburgh,A,
11/10/2018,Alabama,Mississippi St.,H,
11/10/2018,Mississippi St.,Alabama,A,
11/10/2018,Baylor,Iowa St.,A,
11/10/2018,Iowa St.,Baylor,H,
11/10/2018,Middle Tenn.,UTEP,A,
11/10/2018,UTEP,Middle Tenn.,H,
11/10/2018,Houston,Temple,H,
11/10/2018,Temple,Houston,A,
11/10/2018,Colorado St.,Nevada,A,
11/10/2018,Nevada,Colorado St.,H,
11/10/2018,Arizona St.,UCLA,H,
11/10/2018,UCLA,Arizona St.,A,
11/10/2018,Boston College,Clemson,H,
11/10/2018,Clemson,Boston College,A,
11/10/2018,Penn St.,Wisconsin,H,
11/10/2018,Wisconsin,Penn St.,A,
11/10/2018,Florida,South Carolina,H,
11/10/2018,South Carolina,Florida,A,
11/10/2018,Virginia,Liberty,H,
11/10/2018,Idaho,Montana,H,
11/10/2018,UNLV,San Diego St.,A,
11/10/2018,San Diego St.,UNLV,H,
11/10/2018,Arkansas,LSU,H,
11/10/2018,LSU,Arkansas,A,
11/10/2018,Iowa,Northwestern,H,
11/10/2018,Northwestern,Iowa,A,
11/10/2018,Illinois,Nebraska,A,
11/10/2018,Nebraska,Illinois,H,
11/10/2018,UCF,Navy,H,
11/10/2018,Navy,UCF,A,
11/10/2018,Florida St.,Notre Dame,A,
11/10/2018,Notre Dame,Florida St.,H,
11/10/2018,Bowling Green,Central Mich.,A,
11/10/2018,Central Mich.,Bowling Green,H,
11/10/2018,Georgia Tech,Miami (FL),H,
11/10/2018,Miami (FL),Georgia Tech,A,
11/10/2018,East Carolina,Tulane,A,
11/10/2018,Tulane,East Carolina,H,
11/10/2018,Fla. Atlantic,Western Ky.,H,
11/10/2018,Western Ky.,Fla. Atlantic,A,
11/10/2018,La.-Monroe,South Alabama,A,
11/10/2018,South Alabama,La.-Monroe,H,
11/10/2018,Michigan,Rutgers,H,
11/10/2018,Rutgers,Michigan,A,
11/10/2018,Michigan St.,Ohio St.,H,
11/10/2018,Ohio St.,Michigan St.,A,
11/10/2018,Minnesota,Purdue,H,
11/10/2018,Purdue,Minnesota,A,
11/10/2018,Cincinnati,South Fla.,H,
11/10/2018,South Fla.,Cincinnati,A,
11/10/2018,Colorado,Washington St.,A,
11/10/2018,Washington St.,Colorado,H,
11/10/2018,TCU,West Virginia,A,
11/10/2018,West Virginia,TCU,H,
11/10/2018,Oklahoma St.,Oklahoma,A,
11/10/2018,Oklahoma,Oklahoma St.,H,
11/10/2018,Ole Miss,Texas A&M,A,
11/10/2018,Texas A&M,Ole Miss,H,
11/10/2018,Auburn,Georgia,A,
11/10/2018,Georgia,Auburn,H,
11/10/2018,Appalachian St.,Texas St.,A,
11/10/2018,Texas St.,Appalachian St.,H,
11/10/2018,Oregon,Utah,A,
11/10/2018,Utah,Oregon,H,
11/13/2018,Ball St.,Western Mich.,H,
11/13/2018,Western Mich.,Ball St.,A,
11/14/2018,Buffalo,Ohio,A,
11/14/2018,Ohio,Buffalo,H,
11/14/2018,Miami (OH),Northern Ill.,A,
11/14/2018,Northern Ill.,Miami (OH),H,
11/15/2018,Fla. Atlantic,North Texas,A,
11/15/2018,North Texas,Fla. Atlantic,H,
11/15/2018,Houston,Tulane,H,
11/15/2018,Tulane,Houston,A,
11/15/2018,Kent St.,Toledo,H,
11/15/2018,Toledo,Kent St.,A,
11/16/2018,Memphis,SMU,A,
11/16/2018,SMU,Memphis,H,
11/16/2018,Boise St.,New Mexico,A,
11/16/2018,New Mexico,Boise St.,H,
11/17/2018,Akron,Bowling Green,H,
11/17/2018,Bowling Green,Akron,A,
11/17/2018,Colorado St.,Utah St.,H,
11/17/2018,Utah St.,Colorado St.,A,
11/17/2018,Miami (FL),Virginia Tech,A,
11/17/2018,Virginia Tech,Miami (FL),H,
11/17/2018,UCLA,Southern California,H,
11/17/2018,Southern California,UCLA,A,
11/17/2018,Boston College,Florida St.,A,
11/17/2018,Florida St.,Boston College,H,
11/17/2018,Old Dominion,VMI,H,
11/17/2018,South Alabama,Louisiana,A,
11/17/2018,Louisiana,South Alabama,H,
11/17/2018,Oklahoma St.,West Virginia,H,
11/17/2018,West Virginia,Oklahoma St.,A,
11/17/2018,Nevada,San Jose St.,A,
11/17/2018,San Jose St.,Nevada,H,
11/17/2018,Arkansas,Mississippi St.,A,
11/17/2018,Mississippi St.,Arkansas,H,
11/17/2018,Illinois,Iowa,H,
11/17/2018,Iowa,Illinois,A,
11/17/2018,Pittsburgh,Wake Forest,A,
11/17/2018,Wake Forest,Pittsburgh,H,
11/17/2018,South Carolina,Chattanooga,H,
11/17/2018,Army West Point,Colgate,H,
11/17/2018,Baylor,TCU,H,
11/17/2018,TCU,Baylor,A,
11/17/2018,Marshall,UTSA,H,
11/17/2018,UTSA,Marshall,A,
11/17/2018,South Fla.,Temple,A,
11/17/2018,Temple,South Fla.,H,
11/17/2018,Penn St.,Rutgers,A,
11/17/2018,Rutgers,Penn St.,H,
11/17/2018,Auburn,Liberty,H,
11/17/2018,Kansas St.,Texas Tech,H,
11/17/2018,Texas Tech,Kansas St.,A,
11/17/2018,Missouri,Tennessee,A,
11/17/2018,Tennessee,Missouri,H,
11/17/2018,Fresno St.,San Diego St.,H,
11/17/2018,San Diego St.,Fresno St.,A,
11/17/2018,FIU,Charlotte,A,
11/17/2018,Charlotte,FIU,H,
11/17/2018,Alabama,The Citadel,H,
11/17/2018,Iowa St.,Texas,A,
11/17/2018,Texas,Iowa St.,H,
11/17/2018,Louisiana Tech,Southern Miss.,A,
11/17/2018,Southern Miss.,Louisiana Tech,H,
11/17/2018,UConn,East Carolina,A,
11/17/2018,East Carolina,UConn,H,
11/17/2018,Appalachian St.,Georgia St.,H,
11/17/2018,Georgia St.,Appalachian St.,A,
11/17/2018,Ga. Southern,Coastal Caro.,A,
11/17/2018,Air Force,Wyoming,A,
11/17/2018,Wyoming,Air Force,H,
11/17/2018,Florida,Idaho,H,
11/17/2018,Idaho,Florida,A,
11/17/2018,Arkansas St.,La.-Monroe,H,
11/17/2018,La.-Monroe,Arkansas St.,A,
11/17/2018,Indiana,Michigan,A,
11/17/2018,Michigan,Indiana,H,
11/17/2018,BYU,New Mexico St.,H,
11/17/2018,New Mexico St.,BYU,A,
11/17/2018,Minnesota,Northwestern,H,
11/17/2018,Northwestern,Minnesota,A,
11/17/2018,California,Stanford,H,
11/17/2018,Stanford,California,A,
11/17/2018,Purdue,Wisconsin,H,
11/17/2018,Wisconsin,Purdue,A,
11/17/2018,UCF,Cincinnati,H,
11/17/2018,Cincinnati,UCF,A,
11/17/2018,Georgia Tech,Virginia,H,
11/17/2018,Virginia,Georgia Tech,A,
11/17/2018,LSU,Rice,H,
11/17/2018,Rice,LSU,A,
11/17/2018,Louisville,NC State,H,
11/17/2018,NC State,Louisville,A,
11/17/2018,Texas St.,Troy,A,
11/17/2018,Troy,Texas St.,H,
11/17/2018,Maryland,Ohio St.,H,
11/17/2018,Ohio St.,Maryland,A,
11/17/2018,Michigan St.,Nebraska,A,
11/17/2018,Nebraska,Michigan St.,H,
11/17/2018,Tulsa,Navy,A,
11/17/2018,Navy,Tulsa,H,
11/17/2018,Arizona,Washington St.,A,
11/17/2018,Washington St.,Arizona,H,
11/17/2018,Oregon St.,Washington,A,
11/17/2018,Washington,Oregon St.,H,
11/17/2018,Kentucky,Middle Tenn.,H,
11/17/2018,Middle Tenn.,Kentucky,A,
11/17/2018,Kansas,Oklahoma,A,
11/17/2018,Oklahoma,Kansas,H,
11/17/2018,UAB,Texas A&M,A,
11/17/2018,Texas A&M,UAB,H,
11/17/2018,Ole Miss,Vanderbilt,A,
11/17/2018,Vanderbilt,Ole Miss,H,
11/17/2018,North Carolina,Western Caro.,H,
11/17/2018,Georgia,Massachusetts,H,
11/17/2018,Massachusetts,Georgia,A,
11/17/2018,UTEP,Western Ky.,A,
11/17/2018,Western Ky.,UTEP,H,
11/17/2018,Clemson,Duke,H,
11/17/2018,Duke,Clemson,A,
11/17/2018,Notre Dame,Syracuse,N,"Bronx, NY"
11/17/2018,Syracuse,Notre Dame,N,"Bronx, NY"
11/17/2018,Arizona St.,Oregon,A,
11/17/2018,Oregon,Arizona St.,H,
11/17/2018,Colorado,Utah,H,
11/17/2018,Utah,Colorado,A,
11/17/2018,Hawaii,UNLV,H,
11/17/2018,UNLV,Hawaii,A,
11/20/2018,Ball St.,Miami (OH),A,
11/20/2018,Miami (OH),Ball St.,H,
11/20/2018,Northern Ill.,Western Mich.,A,
11/20/2018,Western Mich.,Northern Ill.,H,
11/22/2018,Colorado St.,Air Force,A,
11/22/2018,Air Force,Colorado St.,H,
11/22/2018,Mississippi St.,Ole Miss,A,
11/22/2018,Ole Miss,Mississippi St.,H,
11/23/2018,Central Mich.,Toledo,A,
11/23/2018,Toledo,Central Mich.,H,
11/23/2018,Virginia Tech,Virginia,H,
11/23/2018,Virginia,Virginia Tech,A,
11/23/2018,Arkansas,Missouri,A,
11/23/2018,Missouri,Arkansas,H,
11/23/2018,Houston,Memphis,A,
11/23/2018,Memphis,Houston,H,
11/23/2018,Akron,Ohio,A,
11/23/2018,Ohio,Akron,H,
11/23/2018,Eastern Mich.,Kent St.,A,
11/23/2018,Kent St.,Eastern Mich.,H,
11/23/2018,Bowling Green,Buffalo,H,
11/23/2018,Buffalo,Bowling Green,A,
11/23/2018,UCF,South Fla.,A,
11/23/2018,South Fla.,UCF,H,
11/23/2018,South Alabama,Coastal Caro.,H,
11/23/2018,Iowa,Nebraska,H,
11/23/2018,Nebraska,Iowa,A,
11/23/2018,Cincinnati,East Carolina,H,
11/23/2018,East Carolina,Cincinnati,A,
11/23/2018,Oregon St.,Oregon,H,
11/23/2018,Oregon,Oregon St.,A,
11/23/2018,Washington St.,Washington,H,
11/23/2018,Washington,Washington St.,A,
11/23/2018,Oklahoma,West Virginia,A,
11/23/2018,West Virginia,Oklahoma,H,
11/23/2018,Kansas,Texas,H,
11/23/2018,Texas,Kansas,A,
11/24/2018,Indiana,Purdue,H,
11/24/2018,Purdue,Indiana,A,
11/24/2018,UCLA,Stanford,H,
11/24/2018,Stanford,UCLA,A,
11/24/2018,Florida St.,Florida,H,
11/24/2018,Florida,Florida St.,A,
11/24/2018,Minnesota,Wisconsin,A,
11/24/2018,Wisconsin,Minnesota,H,
11/24/2018,North Texas,UTSA,A,
11/24/2018,UTSA,North Texas,H,
11/24/2018,New Mexico St.,Liberty,A,
11/24/2018,Duke,Wake Forest,H,
11/24/2018,Wake Forest,Duke,A,
11/24/2018,SMU,Tulsa,A,
11/24/2018,Tulsa,SMU,H,
11/24/2018,UConn,Temple,H,
11/24/2018,Temple,UConn,A,
11/24/2018,Oklahoma St.,TCU,A,
11/24/2018,TCU,Oklahoma St.,H,
11/24/2018,Ga. Southern,Georgia St.,A,
11/24/2018,Georgia St.,Ga. Southern,H,
11/24/2018,Illinois,Northwestern,A,
11/24/2018,Northwestern,Illinois,H,
11/24/2018,Old Dominion,Rice,A,
11/24/2018,Rice,Old Dominion,H,
11/24/2018,Notre Dame,Southern California,A,
11/24/2018,Southern California,Notre Dame,H,
11/24/2018,Louisiana Tech,Western Ky.,H,
11/24/2018,Western Ky.,Louisiana Tech,A,
11/24/2018,UNLV,Nevada,H,
11/24/2018,Nevada,UNLV,A,
11/24/2018,Fresno St.,San Jose St.,H,
11/24/2018,San Jose St.,Fresno St.,A,
11/24/2018,Alabama,Auburn,H,
11/24/2018,Auburn,Alabama,A,
11/24/2018,BYU,Utah,A,
11/24/2018,Utah,BYU,H,
11/24/2018,Arizona St.,Arizona,A,
11/24/2018,Arizona,Arizona St.,H,
11/24/2018,Iowa St.,Kansas St.,H,
11/24/2018,Kansas St.,Iowa St.,A,
11/24/2018,Southern Miss.,UTEP,A,
11/24/2018,UTEP,Southern Miss.,H,
11/24/2018,New Mexico,Wyoming,H,
11/24/2018,Wyoming,New Mexico,A,
11/24/2018,Appalachian St.,Troy,H,
11/24/2018,Troy,Appalachian St.,A,
11/24/2018,Boston College,Syracuse,H,
11/24/2018,Syracuse,Boston College,A,
11/24/2018,Maryland,Penn St.,A,
11/24/2018,Penn St.,Maryland,H,
11/24/2018,Hawaii,San Diego St.,A,
11/24/2018,San Diego St.,Hawaii,H,
11/24/2018,Boise St.,Utah St.,H,
11/24/2018,Utah St.,Boise St.,A,
11/24/2018,California,Colorado,H,
11/24/2018,Colorado,California,A,
11/24/2018,Clemson,South Carolina,H,
11/24/2018,South Carolina,Clemson,A,
11/24/2018,UAB,Middle Tenn.,A,
11/24/2018,Middle Tenn.,UAB,H,
11/24/2018,Tulane,Navy,H,
11/24/2018,Navy,Tulane,A,
11/24/2018,Fla. Atlantic,Charlotte,H,
11/24/2018,Charlotte,Fla. Atlantic,A,
11/24/2018,Kentucky,Louisville,A,
11/24/2018,Louisville,Kentucky,H,
11/24/2018,FIU,Marshall,H,
11/24/2018,Marshall,FIU,A,
11/24/2018,LSU,Texas A&M,A,
11/24/2018,Texas A&M,LSU,H,
11/24/2018,La.-Monroe,Louisiana,H,
11/24/2018,Louisiana,La.-Monroe,A,
11/24/2018,Michigan,Ohio St.,A,
11/24/2018,Ohio St.,Michigan,H,
11/24/2018,Michigan St.,Rutgers,H,
11/24/2018,Rutgers,Michigan St.,A,
11/24/2018,Tennessee,Vanderbilt,A,
11/24/2018,Vanderbilt,Tennessee,H,
11/24/2018,Miami (FL),Pittsburgh,H,
11/24/2018,Pittsburgh,Miami (FL),A,
11/24/2018,North Carolina,NC State,H,
11/24/2018,NC State,North Carolina,A,
11/24/2018,Georgia Tech,Georgia,A,
11/24/2018,Georgia,Georgia Tech,H,
11/24/2018,Baylor,Texas Tech,N,"Arlington, TX"
11/24/2018,Texas Tech,Baylor,N,"Arlington, TX"
11/24/2018,Arkansas St.,Texas St.,A,
11/24/2018,Texas St.,Arkansas St.,H,
12/8/2018,Army West Point,Navy,N,"Philadelphia, PA"
12/8/2018,Navy,Army West Point,N,"Philadelphia, PA"
