Date,Home,Home Score,Away,Away Score,Location if Neutral Site
25-Aug-18,Hawai`i,43,Colorado St,34,
25-Aug-18,Duquesne,15,Massachusetts,63,
25-Aug-18,Wyoming,29,New Mexico St,7,
25-Aug-18,Prairie View A&M,28,Rice,31,
30-Aug-18,Savannah St,0,Alabama-Birmingham,52,
30-Aug-18,Central Conn St,6,Ball St,42,
30-Aug-18,Central Florida,56,Connecticut,17,
30-Aug-18,Kennesaw St,20,Georgia St,24,
30-Aug-18,SE Louisiana,31,Louisiana-Monroe,34,
30-Aug-18,New Mexico St,10,Minnesota,48,
30-Aug-18,Missouri St,17,Oklahoma St,58,
30-Aug-18,Northwestern,31,Purdue,27,
30-Aug-18,UC-Davis,44,San José St,38,
30-Aug-18,Northwestern St,7,Texas A&M,59,
30-Aug-18,Wake Forest,23,Tulane,17,
30-Aug-18,Weber St,10,Utah,41,
31-Aug-18,Colorado St,13,Colorado,45,Denver CO
31-Aug-18,Army,14,Duke,34,
31-Aug-18,Monmouth NJ,17,Eastern Michigan,51,
31-Aug-18,Utah St,31,Michigan St,38,
31-Aug-18,Portland St,19,Nevada,72,
31-Aug-18,San Diego St,10,Stanford,31,
31-Aug-18,Syracuse,55,Western Michigan,42,
31-Aug-18,Western Kentucky,3,Wisconsin,34,
01-Sep-18,Stony Brook,0,Air Force,38,
01-Sep-18,Louisville,14,Alabama,51,Orlando FL
01-Sep-18,Brigham Young,28,Arizona,23,
01-Sep-18,Texas-San Antonio,7,Arizona St,49,
01-Sep-18,Eastern Illinois,20,Arkansas,55,
01-Sep-18,SE Missouri St,21,Arkansas St,48,
01-Sep-18,Washington,16,Auburn,21,Atlanta GA
01-Sep-18,Abilene Christian,27,Baylor,55,
01-Sep-18,Massachusetts,21,Boston College,55,
01-Sep-18,Delaware St,10,Buffalo,48,
01-Sep-18,North Carolina,17,California,24,
01-Sep-18,Furman,7,Clemson,48,
01-Sep-18,Charleston Southern,6,Florida,53,
01-Sep-18,Indiana,38,Florida Int'l,28,
01-Sep-18,Idaho,13,Fresno St,79,
01-Sep-18,Austin Peay,0,Georgia,45,
01-Sep-18,South Carolina St,6,Georgia Southern,37,
01-Sep-18,Alcorn St,0,Georgia Tech,41,
01-Sep-18,Navy,41,Hawai`i,59,
01-Sep-18,Kent St,24,Illinois,31,
01-Sep-18,Northern Illinois,7,Iowa,33,
01-Sep-18,Nicholls St,26,Kansas,23,
01-Sep-18,South Dakota,24,Kansas St,27,
01-Sep-18,Central Michigan,20,Kentucky,35,
01-Sep-18,Old Dominion,10,Liberty,52,
01-Sep-18,Grambling St,17,Louisiana-Lafayette,49,
01-Sep-18,Texas,29,Maryland,34,Landover MD
01-Sep-18,Mercer,14,Memphis,66,
01-Sep-18,Marshall,35,Miami OH,28,
01-Sep-18,Stephen F. Austin,6,Mississippi St,63,
01-Sep-18,Tennessee-Martin,14,Missouri,51,
01-Sep-18,Incarnate Word,30,New Mexico,62,
01-Sep-18,James Madison,13,North Carolina St,24,
01-Sep-18,SMU,23,North Texas,46,
01-Sep-18,Michigan,17,Notre Dame,24,
01-Sep-18,Oregon St,31,Ohio State,77,
01-Sep-18,Howard,32,Ohio U.,38,
01-Sep-18,Florida Atlantic,14,Oklahoma,63,
01-Sep-18,Bowling Green,24,Oregon,58,
01-Sep-18,Appalachian St,38,Penn State,45,
01-Sep-18,Albany NY,7,Pittsburgh,33,
01-Sep-18,Houston,45,Rice,27,
01-Sep-18,Texas St-San Marcos,7,Rutgers,35,
01-Sep-18,Louisiana Tech,30,South Alabama,26,
01-Sep-18,Coastal Carolina,15,South Carolina,49,
01-Sep-18,Elon,14,South Florida,34,
01-Sep-18,UNLV,21,Southern Cal,43,
01-Sep-18,Jackson St,7,Southern Miss,55,
01-Sep-18,Southern U.,7,TCU,55,
01-Sep-18,Villanova,19,Temple,17,
01-Sep-18,West Virginia,40,Tennessee,14,Charlotte NC
01-Sep-18,Mississippi,47,Texas Tech,27,Houston TX
01-Sep-18,VMI,3,Toledo,66,
01-Sep-18,Boise St,56,Troy,20,
01-Sep-18,Central Arkansas,27,Tulsa,38,
01-Sep-18,Cincinnati,26,UCLA,17,
01-Sep-18,Fordham,10,UNC-Charlotte,34,
01-Sep-18,Northern Arizona,30,UTEP,10,
01-Sep-18,Middle Tennessee St,7,Vanderbilt,35,
01-Sep-18,Richmond,13,Virginia,42,
01-Sep-18,Washington St,41,Wyoming,19,
02-Sep-18,North Carolina A&T,28,East Carolina,23,
02-Sep-18,Miami FL,17,LSU,33,Arlington TX
03-Sep-18,Virginia Tech,24,Florida St,3,
07-Sep-18,TCU,42,SMU,12,
08-Sep-18,Morgan St,7,Akron,41,
08-Sep-18,Arkansas St,7,Alabama,57,
08-Sep-18,Michigan St,13,Arizona St,16,
08-Sep-18,Liberty,14,Army,38,
08-Sep-18,Alabama St,9,Auburn,63,
08-Sep-18,Connecticut,7,Boise St,62,
08-Sep-18,Holy Cross,14,Boston College,62,
08-Sep-18,Maryland,45,Bowling Green,14,
08-Sep-18,California,21,Brigham Young,18,
08-Sep-18,South Carolina St,0,Central Florida,38,
08-Sep-18,Kansas,31,Central Michigan,7,
08-Sep-18,Miami OH,0,Cincinnati,21,
08-Sep-18,Alabama-Birmingham,24,Coastal Carolina,47,
08-Sep-18,Arkansas,27,Colorado St,34,
08-Sep-18,North Carolina,19,East Carolina,41,
08-Sep-18,Kentucky,27,Florida,16,
08-Sep-18,Air Force,27,Florida Atlantic,33,
08-Sep-18,Samford,26,Florida St,36,
08-Sep-18,Massachusetts,13,Georgia Southern,34,
08-Sep-18,Rice,29,Hawai`i,43,
08-Sep-18,Arizona,18,Houston,45,
08-Sep-18,Western Illinois,14,Illinois,34,
08-Sep-18,Virginia,16,Indiana,20,
08-Sep-18,Iowa St,3,Iowa,13,
08-Sep-18,Mississippi St,31,Kansas St,10,
08-Sep-18,Howard,14,Kent St,54,
08-Sep-18,Southern U.,17,Louisiana Tech,54,
08-Sep-18,Indiana St,7,Louisville,31,
08-Sep-18,SE Louisiana,0,LSU,31,
08-Sep-18,Eastern Kentucky,16,Marshall,32,
08-Sep-18,Savannah St,0,Miami FL,77,	
08-Sep-18,Western Michigan,3,Michigan,49,
08-Sep-18,Tennessee-Martin,37,Middle Tennessee St,61,
08-Sep-18,Fresno St,14,Minnesota,21,
08-Sep-18,Southern Illinois,41,Mississippi,76,
08-Sep-18,Wyoming,13,Missouri,40,
08-Sep-18,Memphis,21,Navy,22,
08-Sep-18,Colorado,33,Nebraska,28,
08-Sep-18,Georgia St,7,North Carolina St,41,
08-Sep-18,Incarnate Word,16,North Texas,58,
08-Sep-18,Utah,17,Northern Illinois,6,
08-Sep-18,Duke,21,Northwestern,7,
08-Sep-18,Ball St,16,Notre Dame,24,
08-Sep-18,Rutgers,3,Ohio State,52,
08-Sep-18,UCLA,21,Oklahoma,49,
08-Sep-18,South Alabama,13,Oklahoma St,55,
08-Sep-18,Florida Int'l,28,Old Dominion,20,
08-Sep-18,Portland St,14,Oregon,62,
08-Sep-18,Southern Utah,25,Oregon St,48,
08-Sep-18,Penn State,51,Pittsburgh,6,
08-Sep-18,Eastern Michigan,20,Purdue,19,
08-Sep-18,Sacramento St,14,San Diego St,28,
08-Sep-18,Georgia,41,South Carolina,17,
08-Sep-18,Georgia Tech,38,South Florida,49,
08-Sep-18,Louisiana-Monroe,21,Southern Miss,20,
08-Sep-18,Southern Cal,3,Stanford,17,
08-Sep-18,Wagner,10,Syracuse,62,
08-Sep-18,Buffalo,36,Temple,29,
08-Sep-18,East Tennessee St,3,Tennessee,59,
08-Sep-18,Tulsa,21,Texas,28,
08-Sep-18,Clemson,28,Texas A&M,26,
08-Sep-18,Texas Southern,20,Texas St-San Marcos,36,
08-Sep-18,Lamar,0,Texas Tech,77,
08-Sep-18,Baylor,37,Texas-San Antonio,20,
08-Sep-18,Florida A&M,7,Troy,59,
08-Sep-18,Nicholls St,17,Tulane,42,
08-Sep-18,Appalachian St,45,UNC-Charlotte,9,
08-Sep-18,UTEP,24,UNLV,52,
08-Sep-18,New Mexico St,13,Utah St,60,
08-Sep-18,Nevada,10,Vanderbilt,41,
08-Sep-18,William & Mary,17,Virginia Tech,62,
08-Sep-18,Towson,20,Wake Forest,51,
08-Sep-18,North Dakota,3,Washington,45,
08-Sep-18,San José St,0,Washington St,31,
08-Sep-18,Youngstown St,17,West Virginia,52,
08-Sep-18,Maine,31,Western Kentucky,28,
08-Sep-18,New Mexico,14,Wisconsin,45,
12-Sep-18,Coastal Carolina,58,Campbell,21,
13-Sep-18,Old Dominion,25,UNC-Charlotte,28,
13-Sep-18,Tennessee Tech,12,Utah St,73,
13-Sep-18,Boston College,41,Wake Forest,34,
14-Sep-18,Georgia St,22,Memphis,59,
15-Sep-18,Tulane,24,Alabama-Birmingham,31,
15-Sep-18,Southern Utah,31,Arizona,62,
15-Sep-18,North Texas,44,Arkansas,17,
15-Sep-18,Hawai`i,21,Army,28,
15-Sep-18,LSU,22,Auburn,21,
15-Sep-18,Duke,40,Baylor,27,
15-Sep-18,Eastern Kentucky,35,Bowling Green,42,
15-Sep-18,Eastern Michigan,28,Buffalo,35,
15-Sep-18,Idaho St,23,California,45,
15-Sep-18,Alabama A&M,7,Cincinnati,63,
15-Sep-18,Georgia Southern,7,Clemson,38,
15-Sep-18,New Hampshire,14,Colorado,45,
15-Sep-18,Rhode Island,49,Connecticut,56,
15-Sep-18,Colorado St,10,Florida,48,
15-Sep-18,Bethune-Cookman,28,Florida Atlantic,49,
15-Sep-18,Massachusetts,24,Florida Int'l,63,
15-Sep-18,Middle Tennessee St,7,Georgia,49,
15-Sep-18,South Florida,25,Illinois,19,Chicago IL
15-Sep-18,Ball St,10,Indiana,38,
15-Sep-18,Northern Iowa,14,Iowa,38,
15-Sep-18,Oklahoma,37,Iowa St,27,
15-Sep-18,Rutgers,14,Kansas,55,
15-Sep-18,Texas-San Antonio,17,Kansas St,41,
15-Sep-18,Murray St,10,Kentucky,48,
15-Sep-18,Western Kentucky,17,Louisville,20,
15-Sep-18,Temple,35,Maryland,14,
15-Sep-18,SMU,20,Michigan,45,
15-Sep-18,Miami OH,3,Minnesota,26,
15-Sep-18,Alabama,62,Mississippi,7,
15-Sep-18,Louisiana-Lafayette,10,Mississippi St,56,
15-Sep-18,Lehigh,21,Navy,51,
15-Sep-18,Troy,24,Nebraska,19,
15-Sep-18,Oregon St,35,Nevada,37,
15-Sep-18,New Mexico,42,New Mexico St,25,
15-Sep-18,Central Michigan,16,Northern Illinois,24,
15-Sep-18,Akron,39,Northwestern,34,
15-Sep-18,Vanderbilt,17,Notre Dame,22,
15-Sep-18,Boise St,21,Oklahoma St,44,
15-Sep-18,San José St,22,Oregon,35,
15-Sep-18,Kent St,10,Penn State,63,
15-Sep-18,Georgia Tech,19,Pittsburgh,24,
15-Sep-18,Missouri,40,Purdue,37,
15-Sep-18,Arizona St,21,San Diego St,28,
15-Sep-18,Texas St-San Marcos,31,South Alabama,41,
15-Sep-18,UC-Davis,10,Stanford,30,
15-Sep-18,Florida St,7,Syracuse,30,
15-Sep-18,Ohio State,40,TCU,28,Arlington TX
15-Sep-18,UTEP,0,Tennessee,24,
15-Sep-18,Southern Cal,14,Texas,37,
15-Sep-18,Louisiana-Monroe,10,Texas A&M,48,
15-Sep-18,Houston,49,Texas Tech,63,
15-Sep-18,Miami FL,49,Toledo,24,
15-Sep-18,Arkansas St,29,Tulsa,20,
15-Sep-18,Fresno St,38,UCLA,14,
15-Sep-18,Prairie View A&M,17,UNLV,46,
15-Sep-18,Washington,21,Utah,7,
15-Sep-18,Ohio U.,31,Virginia,45,Nashville TN
15-Sep-18,Eastern Washington,24,Washington St,59,
15-Sep-18,Delaware St,0,Western Michigan,68,
15-Sep-18,Brigham Young,24,Wisconsin,21,
15-Sep-18,Wofford,14,Wyoming,17,
20-Sep-18,Tulsa,17,Temple,31,
21-Sep-18,Florida Atlantic,36,Central Florida,56,
21-Sep-18,Penn State,63,Illinois,24,
21-Sep-18,Washington St,36,Southern Cal,39,
22-Sep-18,Texas A&M,23,Alabama,45,
22-Sep-18,Gardner-Webb,7,Appalachian St,72,
22-Sep-18,UNLV,20,Arkansas St,27,
22-Sep-18,Arkansas,3,Auburn,34,
22-Sep-18,Western Kentucky,28,Ball St,20,
22-Sep-18,Kansas,7,Baylor,26,
22-Sep-18,Miami OH,38,Bowling Green,23,
22-Sep-18,McNeese St,3,Brigham Young,30,
22-Sep-18,Maine,5,Central Michigan,17,
22-Sep-18,Ohio U.,30,Cincinnati,34,
22-Sep-18,Illinois St,35,Colorado St,19,
22-Sep-18,North Carolina Central,13,Duke,55,
22-Sep-18,Northern Illinois,19,Florida St,37,
22-Sep-18,Western Michigan,34,Georgia St,15,
22-Sep-18,Clemson,49,Georgia Tech,21,
22-Sep-18,Duquesne,21,Hawai`i,42,
22-Sep-18,Texas Southern,14,Houston,70,
22-Sep-18,Michigan St,35,Indiana,21,
22-Sep-18,Wisconsin,28,Iowa,17,
22-Sep-18,Akron,13,Iowa St,26,
22-Sep-18,Mississippi St,7,Kentucky,28,
22-Sep-18,North Texas,47,Liberty,7,
22-Sep-18,Coastal Carolina,30,Louisiana-Lafayette,28,
22-Sep-18,Troy,35,Louisiana-Monroe,27,
22-Sep-18,Louisiana Tech,21,LSU,38,
22-Sep-18,North Carolina St,37,Marshall,20,
22-Sep-18,Minnesota,13,Maryland,42,
22-Sep-18,UNC-Charlotte,31,Massachusetts,49,
22-Sep-18,South Alabama,35,Memphis,52,
22-Sep-18,Florida Int'l,17,Miami FL,31,
22-Sep-18,Nebraska,10,Michigan,56,
22-Sep-18,Kent St,17,Mississippi,38,
22-Sep-18,Georgia,43,Missouri,29,
22-Sep-18,Pittsburgh,35,North Carolina,38,
22-Sep-18,Tulane,6,Ohio State,49,
22-Sep-18,Army,21,Oklahoma,28,
22-Sep-18,Texas Tech,41,Oklahoma St,17,
22-Sep-18,Virginia Tech,35,Old Dominion,49,
22-Sep-18,Stanford,38,Oregon,31,
22-Sep-18,Arizona,35,Oregon St,14,
22-Sep-18,Boston College,13,Purdue,30,
22-Sep-18,Buffalo,42,Rutgers,13,
22-Sep-18,Eastern Michigan,20,San Diego St,23,
22-Sep-18,Navy,30,SMU,31,
22-Sep-18,East Carolina,13,South Florida,20,
22-Sep-18,Rice,22,Southern Miss,40,
22-Sep-18,Connecticut,21,Syracuse,51,
22-Sep-18,Florida,47,Tennessee,21,
22-Sep-18,TCU,16,Texas,31,
22-Sep-18,Texas St-San Marcos,21,Texas-San Antonio,25,
22-Sep-18,Nevada,44,Toledo,63,
22-Sep-18,Air Force,32,Utah St,42,
22-Sep-18,New Mexico St,27,UTEP,20,
22-Sep-18,South Carolina,37,Vanderbilt,14,
22-Sep-18,Louisville,3,Virginia,27,
22-Sep-18,Notre Dame,56,Wake Forest,27,
22-Sep-18,Arizona St,20,Washington,27,
22-Sep-18,Kansas St,6,West Virginia,35,
27-Sep-18,North Carolina,10,Miami FL,47,
28-Sep-18,UCLA,16,Colorado,38,
28-Sep-18,Memphis,24,Tulane,40,
29-Sep-18,Nevada,28,Air Force,25,
29-Sep-18,Louisiana-Lafayette,14,Alabama,56,
29-Sep-18,UNC-Charlotte,7,Alabama-Birmingham,28,
29-Sep-18,South Alabama,7,Appalachian St,52,
29-Sep-18,Southern Cal,24,Arizona,20,
29-Sep-18,Oregon St,24,Arizona St,52,
29-Sep-18,Southern Miss,13,Auburn,24,
29-Sep-18,Kent St,24,Ball St,52,
29-Sep-18,Temple,35,Boston College,45,
29-Sep-18,Army,42,Buffalo,13,
29-Sep-18,Oregon,42,California,24,
29-Sep-18,Pittsburgh,14,Central Florida,45,
29-Sep-18,Syracuse,23,Clemson,27,
29-Sep-18,Cincinnati,49,Connecticut,7,
29-Sep-18,Virginia Tech,31,Duke,14,
29-Sep-18,Old Dominion,35,East Carolina,37,
29-Sep-18,Northern Illinois,26,Eastern Michigan,23,
29-Sep-18,Arkansas-Pine Bluff,9,Florida Int'l,55,
29-Sep-18,Toledo,27,Fresno St,49,
29-Sep-18,Tennessee,12,Georgia,38,
29-Sep-18,Arkansas St,21,Georgia Southern,28,
29-Sep-18,Louisiana-Monroe,14,Georgia St,46,
29-Sep-18,Bowling Green,17,Georgia Tech,63,
29-Sep-18,Oklahoma St,48,Kansas,28,
29-Sep-18,Texas,19,Kansas St,14,
29-Sep-18,South Carolina,10,Kentucky,24,
29-Sep-18,Florida St,28,Louisville,24,
29-Sep-18,Mississippi,16,LSU,45,
29-Sep-18,Western Michigan,40,Miami OH,39,
29-Sep-18,Central Michigan,20,Michigan St,31,
29-Sep-18,Florida Atlantic,24,Middle Tennessee St,25,
29-Sep-18,Florida,13,Mississippi St,6,
29-Sep-18,Purdue,42,Nebraska,28,
29-Sep-18,Liberty,52,New Mexico,43,
29-Sep-18,Virginia,21,North Carolina St,35,
29-Sep-18,Louisiana Tech,29,North Texas,27,
29-Sep-18,Michigan,20,Northwestern,17,
29-Sep-18,Stanford,17,Notre Dame,38,
29-Sep-18,Massachusetts,42,Ohio U.,58,
29-Sep-18,Baylor,33,Oklahoma,66,
29-Sep-18,Ohio State,27,Penn State,26,
29-Sep-18,Indiana,24,Rutgers,17,
29-Sep-18,Hawai`i,44,San José St,41,
29-Sep-18,Houston Baptist,27,SMU,63,
29-Sep-18,Iowa St,14,TCU,17,
29-Sep-18,Arkansas,17,Texas A&M,24,Arlington TX
29-Sep-18,West Virginia,42,Texas Tech,34,
29-Sep-18,UTEP,21,Texas-San Antonio,30,
29-Sep-18,Coastal Carolina,21,Troy,45,
29-Sep-18,Tennessee St,27,Vanderbilt,31,
29-Sep-18,Rice,24,Wake Forest,56,
29-Sep-18,Brigham Young,7,Washington,35,
29-Sep-18,Utah,24,Washington St,28,
29-Sep-18,Marshall,20,Western Kentucky,17,
29-Sep-18,Boise St,34,Wyoming,14,
04-Oct-18,Tulsa,26,Houston,41,
04-Oct-18,Georgia St,20,Troy,37,
05-Oct-18,Utah St,45,Brigham Young,20,
05-Oct-18,Georgia Tech,66,Louisville,31,
05-Oct-18,Middle Tennessee St,34,Marshall,24,
06-Oct-18,Navy,7,Air Force,35,
06-Oct-18,Miami OH,41,Akron,17,
06-Oct-18,California,17,Arizona,24,
06-Oct-18,Alabama,65,Arkansas,31,
06-Oct-18,Northern Illinois,24,Ball St,16,
06-Oct-18,Kansas St,34,Baylor,37,
06-Oct-18,San Diego St,19,Boise St,13,
06-Oct-18,SMU,20,Central Florida,48,
06-Oct-18,Buffalo,34,Central Michigan,24,
06-Oct-18,Tulane,21,Cincinnati,37,
06-Oct-18,Arizona St,21,Colorado,28,
06-Oct-18,LSU,19,Florida,27,
06-Oct-18,Old Dominion,33,Florida Atlantic,52,
06-Oct-18,Vanderbilt,13,Georgia,41,
06-Oct-18,South Alabama,13,Georgia Southern,48,
06-Oct-18,Wyoming,13,Hawai`i,17,
06-Oct-18,Ohio U.,27,Kent St,26,
06-Oct-18,Alabama-Birmingham,28,Louisiana Tech,7,
06-Oct-18,South Florida,58,Massachusetts,42,
06-Oct-18,Connecticut,14,Memphis,55,
06-Oct-18,Florida St,27,Miami FL,28,
06-Oct-18,Maryland,21,Michigan,42,
06-Oct-18,Northwestern,29,Michigan St,19,
06-Oct-18,Iowa,48,Minnesota,31,
06-Oct-18,Louisiana-Monroe,21,Mississippi,70,
06-Oct-18,Auburn,9,Mississippi St,23,
06-Oct-18,Fresno St,21,Nevada,3,
06-Oct-18,Liberty,41,New Mexico St,49,
06-Oct-18,Boston College,23,North Carolina St,28,
06-Oct-18,Indiana,26,Ohio State,49,
