Team,Week,ELO,Rank
Middle Tennessee St,12,1518.92,60
Eastern Michigan,12,1518.86,61
Brigham Young,12,1517.65,62
San Diego St,12,1517.31,63
Virginia,12,1516.16,64
Nevada,12,1516.11,65
Louisiana Tech,12,1510.99,66
Northern Illinois,12,1502.61,67
Kansas St,12,1500.35,68
Louisiana-Lafayette,12,1498.19,69
Florida Atlantic,12,1497.6,70
Arizona,12,1496.78,71
Maryland,12,1494.57,72
Southern Cal,12,1493.09,73
Southern Miss,12,1491.1,74
California,12,1488.94,75
Vanderbilt,12,1487.48,76
South Florida,12,1484.04,77
Tulane,12,1483.69,78
Texas Tech,12,1483.09,79
Western Michigan,12,1481.8,80
Air Force,12,1479.7,81
Wyoming,12,1478.82,82
TCU,12,1478.22,83
Louisiana-Monroe,12,1478.19,84
Tennessee,12,1471.87,85
Indiana,12,1470.68,86
Minnesota,12,1470.19,87
Florida St,12,1469.49,88
Nebraska,12,1467.83,89
Hawai`i,12,1463.8,90
SMU,12,1462.28,91
Baylor,12,1456.4,92
Wake Forest,12,1455.91,93
Colorado,12,1452.74,94
Virginia Tech,12,1447.86,95
Mississippi,12,1440.25,96
UCLA,12,1425.93,97
Navy,12,1413.04,98
Illinois,12,1410.0,99
Old Dominion,12,1406.52,100
Coastal Carolina,12,1405.71,101
UNC-Charlotte,12,1403.58,102
Texas St-San Marcos,12,1402.66,103
East Carolina,12,1402.39,104
Kansas,12,1400.11,105
North Carolina,12,1399.25,106
New Mexico,12,1396.1,107
Akron,12,1391.91,108
Western Kentucky,12,1390.38,109
Massachusetts,12,1388.3,110
UNLV,12,1386.26,111
Texas-San Antonio,12,1383.36,112
Ball St,12,1379.78,113
Tulsa,12,1377.25,114
Arkansas,12,1370.48,115
Colorado St,12,1368.58,116
Georgia St,12,1367.67,117
Bowling Green,12,1367.22,118
South Alabama,12,1365.01,119
New Mexico St,12,1360.43,120
Louisville,12,1357.13,121
San José St,12,1355.38,122
Kent St,12,1354.37,123
Rutgers,12,1353.62,124
Oregon St,12,1338.08,125
Central Michigan,12,1333.1,126
UTEP,12,1327.09,127
Rice,12,1311.97,128
Connecticut,12,1308.25,129
Alabama,13,1724.99,1
Clemson,13,1709.23,2
Notre Dame,13,1693.82,3
Central Florida,13,1679.14,4
Georgia,13,1676.18,5
Ohio State,13,1666.07,6
Oklahoma,13,1664.89,7
Michigan,13,1646.97,8
Boise St,13,1639.73,9
Fresno St,13,1630.01,10
Penn State,13,1627.84,11
Appalachian St,13,1617.69,12
Washington St,13,1617.47,13
Utah St,13,1615.68,14
Washington,13,1611.42,15
Texas,13,1610.72,16
Utah,13,1598.31,17
Cincinnati,13,1595.93,18
Missouri,13,1592.23,19
Mississippi St,13,1592.22,20
LSU,13,1592.2,21
Temple,13,1588.78,22
Iowa,13,1588.06,23
Ohio U.,13,1587.72,24
Syracuse,13,1583.49,25
Buffalo,13,1582.33,26
Memphis,13,1579.1,27
Army,13,1577.26,28
West Virginia,13,1577.13,29
North Carolina St,13,1571.91,30
Iowa St,13,1571.55,31
Texas A&M,13,1569.82,32
Florida,13,1569.76,33
Kentucky,13,1567.64,34
Northwestern,13,1565.04,35
Marshall,13,1563.28,36
Troy,13,1562.05,37
North Texas,13,1561.88,38
Arkansas St,13,1556.74,39
Georgia Southern,13,1553.23,40
Alabama-Birmingham,13,1547.88,41
Middle Tennessee St,13,1547.8,42
Miami FL,13,1547.27,43
Houston,13,1545.45,44
Stanford,13,1545.1,45
Michigan St,13,1540.88,46
Oregon,13,1539.22,47
Purdue,13,1536.54,48
Arizona St,13,1536.31,49
Florida Int'l,13,1533.48,50
Georgia Tech,13,1532.88,51
Boston College,13,1530.76,52
Pittsburgh,13,1530.71,53
Toledo,13,1527.6,54
Auburn,13,1527.23,55
Wisconsin,13,1527.21,56
Miami OH,13,1526.38,57
Eastern Michigan,13,1518.86,58
Virginia,13,1516.16,59
San Diego St,13,1511.46,60
South Carolina,13,1510.86,61
Vanderbilt,13,1510.66,62
Louisiana-Lafayette,13,1508.08,63
Southern Miss,13,1506.97,64
Oklahoma St,13,1506.11,65
California,13,1505.9,66
Brigham Young,13,1504.74,67
Northern Illinois,13,1502.61,68
Wyoming,13,1498.93,69
Minnesota,13,1498.27,70
Nevada,13,1496.73,71
TCU,13,1496.24,72
Duke,13,1494.46,73
Arizona,13,1492.03,74
Wake Forest,13,1490.72,75
Kansas St,13,1490.67,76
Tulane,13,1487.71,77
Florida Atlantic,13,1484.99,78
Louisiana Tech,13,1484.7,79
Southern Cal,13,1484.59,80
South Florida,13,1484.04,81
Western Michigan,13,1481.8,82
Air Force,13,1479.7,83
Maryland,13,1477.25,84
Baylor,13,1476.71,85
Hawai`i,13,1469.65,86
Louisiana-Monroe,13,1468.3,87
Nebraska,13,1467.83,88
Texas Tech,13,1462.77,89
Indiana,13,1457.09,90
Florida St,13,1449.44,91
SMU,13,1448.87,92
Tennessee,13,1448.7,93
Virginia Tech,13,1447.86,94
Mississippi,13,1440.25,95
Colorado,13,1435.78,96
Western Kentucky,13,1416.67,97
UNC-Charlotte,13,1416.19,98
UCLA,13,1414.46,99
Navy,13,1409.01,100
Coastal Carolina,13,1405.71,101
UNLV,13,1405.65,102
East Carolina,13,1402.39,103
Illinois,13,1400.67,104
Kansas,13,1400.11,105
Akron,13,1391.91,106
Tulsa,13,1390.66,107
North Carolina,13,1390.41,108
Massachusetts,13,1388.3,109
Texas St-San Marcos,13,1386.23,110
Ball St,13,1379.78,111
Old Dominion,13,1379.66,112
Texas-San Antonio,13,1377.26,113
New Mexico,13,1375.99,114
Arkansas,13,1370.48,115
Colorado St,13,1368.58,116
Bowling Green,13,1367.22,117
South Alabama,13,1365.01,118
Kent St,13,1354.37,119
Georgia St,13,1354.04,120
San José St,13,1348.44,121
Rutgers,13,1347.81,122
Louisville,13,1341.57,123
Rice,13,1338.83,124
Oregon St,13,1338.08,125
Central Michigan,13,1333.1,126
New Mexico St,13,1331.51,127
UTEP,13,1311.22,128
Connecticut,13,1296.46,129
Alabama,14,1738.71,1
Clemson,14,1722.02,2
Notre Dame,14,1693.82,3
Central Florida,14,1693.46,4
Ohio State,14,1681.97,5
Oklahoma,14,1680.76,6
Georgia,14,1662.46,7
Michigan,14,1646.97,8
Fresno St,14,1640.65,9
Appalachian St,14,1630.02,10
Boise St,14,1629.09,11
Penn State,14,1627.84,12
Washington,14,1626.51,13
Washington St,14,1617.47,14
Utah St,14,1615.68,15
Cincinnati,14,1595.93,16
Texas,14,1594.85,17
Missouri,14,1592.23,18
Mississippi St,14,1592.22,19
LSU,14,1592.2,20
Temple,14,1588.78,21
Iowa,14,1588.06,22
Ohio U.,14,1587.72,23
North Carolina St,14,1587.25,24
Syracuse,14,1583.49,25
Utah,14,1583.21,26
Army,14,1577.26,27
West Virginia,14,1577.13,28
Buffalo,14,1575.72,29
Iowa St,14,1572.62,30
Texas A&M,14,1569.82,31
Florida,14,1569.76,32
Kentucky,14,1567.64,33
Memphis,14,1564.78,34
Troy,14,1562.05,35
North Texas,14,1561.88,36
Stanford,14,1561.36,37
Arkansas St,14,1556.74,38
Alabama-Birmingham,14,1556.12,39
Georgia Southern,14,1553.23,40
Northwestern,14,1549.14,41
Miami FL,14,1547.27,42
Houston,14,1545.45,43
Michigan St,14,1540.88,44
Middle Tennessee St,14,1539.57,45
Oregon,14,1539.22,46
Purdue,14,1536.54,47
Arizona St,14,1536.31,48
Florida Int'l,14,1533.48,49
Georgia Tech,14,1532.88,50
Marshall,14,1530.97,51
Boston College,14,1530.76,52
Toledo,14,1527.6,53
Auburn,14,1527.23,54
Wisconsin,14,1527.21,55
South Carolina,14,1526.4,56
Miami OH,14,1526.38,57
Eastern Michigan,14,1518.86,58
Pittsburgh,14,1517.93,59
Virginia,14,1516.16,60
San Diego St,14,1511.46,61
Vanderbilt,14,1510.66,62
Northern Illinois,14,1509.22,63
Southern Miss,14,1506.97,64
Oklahoma St,14,1506.11,65
Brigham Young,14,1504.74,66
Wyoming,14,1498.93,67
Minnesota,14,1498.27,68
Nevada,14,1496.73,69
TCU,14,1496.24,70
Louisiana-Lafayette,14,1495.75,71
Duke,14,1494.46,72
Arizona,14,1492.03,73
Wake Forest,14,1490.72,74
Kansas St,14,1490.67,75
California,14,1489.64,76
Tulane,14,1487.71,77
Florida Atlantic,14,1484.99,78
Louisiana Tech,14,1484.7,79
Southern Cal,14,1484.59,80
South Florida,14,1484.04,81
Western Michigan,14,1481.8,82
Virginia Tech,14,1480.16,83
Air Force,14,1479.7,84
Maryland,14,1477.25,85
Baylor,14,1476.71,86
Hawai`i,14,1469.65,87
Louisiana-Monroe,14,1468.3,88
Nebraska,14,1467.83,89
Texas Tech,14,1462.77,90
Indiana,14,1457.09,91
Florida St,14,1449.44,92
SMU,14,1448.87,93
Tennessee,14,1448.7,94
Mississippi,14,1440.25,95
Colorado,14,1435.78,96
Western Kentucky,14,1416.67,97
UNC-Charlotte,14,1416.19,98
UCLA,14,1414.46,99
Navy,14,1409.01,100
Coastal Carolina,14,1405.71,101
UNLV,14,1405.65,102
Illinois,14,1400.67,103
Kansas,14,1400.11,104
Tulsa,14,1390.66,105
North Carolina,14,1390.41,106
Massachusetts,14,1388.3,107
East Carolina,14,1387.05,108
Texas St-San Marcos,14,1386.23,109
Ball St,14,1379.78,110
Old Dominion,14,1379.66,111
Texas-San Antonio,14,1377.26,112
Akron,14,1376.37,113
New Mexico,14,1375.99,114
Arkansas,14,1370.48,115
Colorado St,14,1368.58,116
Bowling Green,14,1367.22,117
South Alabama,14,1365.01,118
Kent St,14,1354.37,119
Georgia St,14,1354.04,120
San José St,14,1348.44,121
Rutgers,14,1347.81,122
Louisville,14,1341.57,123
Rice,14,1338.83,124
Oregon St,14,1338.08,125
Central Michigan,14,1333.1,126
New Mexico St,14,1331.51,127
UTEP,14,1311.22,128
Connecticut,14,1296.46,129
Alabama,15,1753.87,1
Clemson,15,1744.69,2
Central Florida,15,1693.46,3
Ohio State,15,1681.97,4
Notre Dame,15,1671.14,5
Oklahoma,15,1665.6,6
Georgia,15,1662.46,7
Fresno St,15,1654.51,8
Appalachian St,15,1650.4,9
Utah St,15,1639.69,10
Boise St,15,1629.09,11
Penn State,15,1627.84,12
Washington,15,1626.51,13
Washington St,15,1624.81,14
Michigan,15,1615.75,15
Army,15,1613.82,16
Ohio U.,15,1606.66,17
Syracuse,15,1604.41,18
Florida,15,1600.98,19
Cincinnati,15,1595.93,20
Texas,15,1594.85,21
Missouri,15,1592.23,22
Mississippi St,15,1592.22,23
LSU,15,1592.2,24
Iowa,15,1588.06,25
North Carolina St,15,1587.25,26
Utah,15,1583.21,27
Troy,15,1580.85,28
Alabama-Birmingham,15,1576.58,29
Texas A&M,15,1569.82,30
Kentucky,15,1567.64,31
Iowa St,15,1565.29,32
Stanford,15,1561.36,33
Georgia Southern,15,1560.54,34
Auburn,15,1557.49,35
Buffalo,15,1556.91,36
West Virginia,15,1556.21,37
Wisconsin,15,1555.2,38
Temple,15,1555.07,39
Memphis,15,1552.61,40
Marshall,15,1550.51,41
Northwestern,15,1549.14,42
Arkansas St,15,1544.23,43
Florida Int'l,15,1543.67,44
Virginia,15,1542.04,45
Michigan St,15,1540.88,46
Oregon,15,1539.22,47
North Texas,15,1537.87,48
Boston College,15,1530.76,49
Brigham Young,15,1528.77,50
Duke,15,1528.18,51
Miami OH,15,1526.38,52
Minnesota,15,1525.23,53
Arizona St,15,1522.45,54
Miami FL,15,1519.28,55
Middle Tennessee St,15,1519.18,56
Houston,15,1518.19,57
Pittsburgh,15,1517.93,58
Toledo,15,1517.41,59
Eastern Michigan,15,1511.55,60
Tulane,15,1509.97,61
Nevada,15,1509.25,62
Southern Miss,15,1506.97,63
TCU,15,1506.47,64
Purdue,15,1506.29,65
Oklahoma St,15,1506.11,66
Georgia Tech,15,1505.92,67
Louisiana Tech,15,1505.58,68
Wake Forest,15,1502.89,69
South Carolina,15,1500.52,70
Wyoming,15,1498.93,71
Baylor,15,1494.09,72
Vanderbilt,15,1493.27,73
San Diego St,15,1492.52,74
Arizona,15,1492.03,75
Kansas St,15,1490.67,76
Northern Illinois,15,1488.76,77
Florida Atlantic,15,1484.99,78
Southern Cal,15,1484.59,79
Virginia Tech,15,1480.16,80
Air Force,15,1479.7,81
California,15,1479.41,82
Maryland,15,1477.25,83
Louisiana-Lafayette,15,1473.49,84
Louisiana-Monroe,15,1468.3,85
Nebraska,15,1467.83,86
South Florida,15,1464.5,87
Texas Tech,15,1462.77,88
Western Michigan,15,1457.78,89
Indiana,15,1457.09,90
Florida St,15,1449.44,91
SMU,15,1448.87,92
Hawai`i,15,1448.77,93
Tennessee,15,1448.7,94
Mississippi,15,1440.25,95
Colorado,15,1435.78,96
Western Kentucky,15,1416.67,97
UNC-Charlotte,15,1416.19,98
UCLA,15,1414.46,99
Coastal Carolina,15,1405.71,100
UNLV,15,1405.65,101
Illinois,15,1400.67,102
Kansas,15,1400.11,103
Navy,15,1399.72,104
Tulsa,15,1390.66,105
North Carolina,15,1390.41,106
Massachusetts,15,1388.3,107
East Carolina,15,1387.05,108
Texas St-San Marcos,15,1386.23,109
Ball St,15,1379.78,110
Old Dominion,15,1379.66,111
Texas-San Antonio,15,1377.26,112
Akron,15,1376.37,113
New Mexico,15,1375.99,114
Arkansas,15,1370.48,115
Colorado St,15,1368.58,116
Bowling Green,15,1367.22,117
South Alabama,15,1365.01,118
Kent St,15,1354.37,119
Georgia St,15,1354.04,120
San José St,15,1348.44,121
Rutgers,15,1347.81,122
Louisville,15,1341.57,123
Rice,15,1338.83,124
Oregon St,15,1338.08,125
Central Michigan,15,1333.1,126
New Mexico St,15,1331.51,127
UTEP,15,1311.22,128
Connecticut,15,1296.46,129
Alabama,16,1772.61,1
Clemson,16,1769.55,2
Ohio State,16,1722.6,3
Oklahoma,16,1681.17,4
Notre Dame,16,1680.88,5
Central Florida,16,1669.64,6
Georgia,16,1649.14,7
Michigan,16,1642.01,8
Penn State,16,1641.07,9
Washington St,16,1634.15,10
LSU,16,1633.27,11
Syracuse,16,1632.05,12
Texas,16,1630.49,13
Utah St,16,1628.39,14
Washington,16,1627.66,15
Iowa,16,1624.31,16
Fresno St,16,1623.24,17
Appalachian St,16,1622.46,18
Boise St,16,1619.23,19
Texas A&M,16,1616.65,20
Army,16,1608.93,21
Florida,16,1608.63,22
Cincinnati,16,1599.98,23
Missouri,16,1596.58,24
Mississippi St,16,1595.59,25
Northwestern,16,1591.36,26
Kentucky,16,1585.26,27
North Carolina St,16,1584.06,28
Auburn,16,1581.02,29
Iowa St,16,1580.58,30
Ohio U.,16,1575.99,31
Wisconsin,16,1575.52,32
Stanford,16,1575.2,33
West Virginia,16,1573.54,34
Utah,16,1572.28,35
Michigan St,16,1565.66,36
Boston College,16,1559.32,37
Troy,16,1554.65,38
Temple,16,1554.27,39
Memphis,16,1554.03,40
Oregon,16,1552.89,41
Virginia,16,1547.76,42
Alabama-Birmingham,16,1547.55,43
Minnesota,16,1544.38,44
Marshall,16,1539.97,45
Georgia Southern,16,1536.27,46
Duke,16,1535.61,47
Oklahoma St,16,1534.15,48
Florida Int'l,16,1532.29,49
Purdue,16,1531.83,50
Wake Forest,16,1528.52,51
Buffalo,16,1526.95,52
Miami FL,16,1526.77,53
Arizona St,16,1526.7,54
Brigham Young,16,1526.63,55
TCU,16,1523.59,56
Pittsburgh,16,1522.16,57
Houston,16,1519.84,58
Georgia Tech,16,1511.54,59
Tulane,16,1509.5,60
Baylor,16,1508.72,61
Kansas St,16,1506.04,62
Middle Tennessee St,16,1505.8,63
North Texas,16,1505.59,64
Maryland,16,1505.18,65
South Carolina,16,1502.1,66
Arizona,16,1501.45,67
Toledo,16,1499.75,68
Vanderbilt,16,1495.64,69
Miami OH,16,1495.35,70
Eastern Michigan,16,1494.29,71
Southern Cal,16,1492.62,72
Arkansas St,16,1492.43,73
California,16,1491.72,74
Nebraska,16,1491.09,75
Wyoming,16,1490.48,76
Indiana,16,1486.37,77
Texas Tech,16,1479.73,78
Florida St,16,1477.5,79
Virginia Tech,16,1475.63,80
Northern Illinois,16,1475.37,81
Florida Atlantic,16,1474.25,82
Louisiana Tech,16,1473.28,83
Nevada,16,1473.26,84
Air Force,16,1470.58,85
Southern Miss,16,1469.55,86
South Florida,16,1461.76,87
Mississippi,16,1459.08,88
San Diego St,16,1456.7,89
SMU,16,1451.34,90
Tennessee,16,1451.07,91
Western Michigan,16,1446.66,92
Colorado,16,1445.21,93
Louisiana-Lafayette,16,1428.32,94
Illinois,16,1422.91,95
UCLA,16,1422.42,96
Louisiana-Monroe,16,1418.16,97
Kansas,16,1417.18,98
Hawai`i,16,1415.01,99
Western Kentucky,16,1405.05,100
UNC-Charlotte,16,1403.65,101
Navy,16,1399.48,102
North Carolina,16,1395.84,103
Tulsa,16,1393.63,104
Arkansas,16,1392.63,105
East Carolina,16,1386.39,106
Massachusetts,16,1385.44,107
Coastal Carolina,16,1379.08,108
Rutgers,16,1372.69,109
Louisville,16,1370.32,110
UNLV,16,1368.12,111
Old Dominion,16,1367.89,112
New Mexico,16,1366.42,113
Ball St,16,1364.47,114
Colorado St,16,1359.62,115
Oregon St,16,1350.42,116
Akron,16,1347.42,117
Texas-San Antonio,16,1344.85,118
Bowling Green,16,1339.61,119
Texas St-San Marcos,16,1330.73,120
Georgia St,16,1328.0,121
Kent St,16,1327.96,122
New Mexico St,16,1323.96,123
Central Michigan,16,1319.97,124
San José St,16,1314.43,125
South Alabama,16,1313.69,126
Rice,16,1307.4,127
Connecticut,16,1294.84,128
UTEP,16,1275.6,129
Clemson,17,1795.0,1
Alabama,17,1747.17,2
Ohio State,17,1722.6,3
Oklahoma,17,1681.17,4
Notre Dame,17,1680.88,5
Central Florida,17,1669.64,6
Georgia,17,1649.14,7
Michigan,17,1642.01,8
Penn State,17,1641.07,9
Washington St,17,1634.15,10
LSU,17,1633.27,11
Syracuse,17,1632.05,12
Texas,17,1630.49,13
Utah St,17,1628.39,14
Washington,17,1627.66,15
Iowa,17,1624.31,16
Fresno St,17,1623.24,17
Appalachian St,17,1622.46,18
Boise St,17,1619.23,19
Texas A&M,17,1616.65,20
Army,17,1608.93,21
Florida,17,1608.63,22
Cincinnati,17,1599.98,23
Missouri,17,1596.58,24
Mississippi St,17,1595.59,25
Northwestern,17,1591.36,26
Kentucky,17,1585.26,27
North Carolina St,17,1584.06,28
Auburn,17,1581.02,29
Iowa St,17,1580.58,30
Ohio U.,17,1575.99,31
Wisconsin,17,1575.52,32
Stanford,17,1575.2,33
West Virginia,17,1573.54,34
Utah,17,1572.28,35
Michigan St,17,1565.66,36
Boston College,17,1559.32,37
Troy,17,1554.65,38
Temple,17,1554.27,39
Memphis,17,1554.03,40
Oregon,17,1552.89,41
Virginia,17,1547.76,42
Alabama-Birmingham,17,1547.55,43
Minnesota,17,1544.38,44
Marshall,17,1539.97,45
Georgia Southern,17,1536.27,46
Duke,17,1535.61,47
Oklahoma St,17,1534.15,48
Florida Int'l,17,1532.29,49
Purdue,17,1531.83,50
Wake Forest,17,1528.52,51
Buffalo,17,1526.95,52
Miami FL,17,1526.77,53
Arizona St,17,1526.7,54
Brigham Young,17,1526.63,55
TCU,17,1523.59,56
Pittsburgh,17,1522.16,57
Houston,17,1519.84,58
Georgia Tech,17,1511.54,59
Tulane,17,1509.5,60
Baylor,17,1508.72,61
Kansas St,17,1506.04,62
Middle Tennessee St,17,1505.8,63
North Texas,17,1505.59,64
Maryland,17,1505.18,65
South Carolina,17,1502.1,66
Arizona,17,1501.45,67
Toledo,17,1499.75,68
Vanderbilt,17,1495.64,69
Miami OH,17,1495.35,70
Eastern Michigan,17,1494.29,71
Southern Cal,17,1492.62,72
Arkansas St,17,1492.43,73
California,17,1491.72,74
Nebraska,17,1491.09,75
Wyoming,17,1490.48,76
Indiana,17,1486.37,77
Texas Tech,17,1479.73,78
Florida St,17,1477.5,79
Virginia Tech,17,1475.63,80
Northern Illinois,17,1475.37,81
Florida Atlantic,17,1474.25,82
Louisiana Tech,17,1473.28,83
Nevada,17,1473.26,84
Air Force,17,1470.58,85
Southern Miss,17,1469.55,86
South Florida,17,1461.76,87
Mississippi,17,1459.08,88
San Diego St,17,1456.7,89
SMU,17,1451.34,90
Tennessee,17,1451.07,91
Western Michigan,17,1446.66,92
Colorado,17,1445.21,93
Louisiana-Lafayette,17,1428.32,94
Illinois,17,1422.91,95
UCLA,17,1422.42,96
Louisiana-Monroe,17,1418.16,97
Kansas,17,1417.18,98
Hawai`i,17,1415.01,99
Western Kentucky,17,1405.05,100
UNC-Charlotte,17,1403.65,101
Navy,17,1399.48,102
North Carolina,17,1395.84,103
Tulsa,17,1393.63,104
Arkansas,17,1392.63,105
East Carolina,17,1386.39,106
Massachusetts,17,1385.44,107
Coastal Carolina,17,1379.08,108
Rutgers,17,1372.69,109
Louisville,17,1370.32,110
UNLV,17,1368.12,111
Old Dominion,17,1367.89,112
New Mexico,17,1366.42,113
Ball St,17,1364.47,114
Colorado St,17,1359.62,115
Oregon St,17,1350.42,116
Akron,17,1347.42,117
Texas-San Antonio,17,1344.85,118
Bowling Green,17,1339.61,119
Texas St-San Marcos,17,1330.73,120
Georgia St,17,1328.0,121
Kent St,17,1327.96,122
New Mexico St,17,1323.96,123
Central Michigan,17,1319.97,124
San José St,17,1314.43,125
South Alabama,17,1313.69,126
Rice,17,1307.4,127
Connecticut,17,1294.84,128
UTEP,17,1275.6,129
